customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
PZ47477,Arizona,M,High School or Below,896631,41829,76,0,416,Personal Auto,Two-Door Car
LT32391,California,F,Master,1198198,21514,62,0,257,Personal Auto,Two-Door Car
KK30016,Nevada,M,Master,553263,27722,69,0,331,Personal Auto,Four-Door Car
OA89218,Nevada,F,College,1166057,21506,151,0,827,Personal Auto,Luxury
CY47265,Oregon,F,High School or Below,288645,10312,78,0,486,Personal Auto,Four-Door Car
ZI47663,Arizona,F,Bachelor,1274185,73054,106,1,419,Personal Auto,SUV
GO14008,Oregon,F,Bachelor,539810,73775,67,0,322,Personal Auto,Four-Door Car
BC43958,California,M,High School or Below,728503,44788,61,0,386,Corporate Auto,Four-Door Car
AI61368,Nevada,F,High School or Below,1765196,22510,95,0,456,Personal Auto,Four-Door Car
UF37831,Arizona,M,Master,1702989,54613,213,0,732,Personal Auto,Luxury
PO90615,Arizona,F,High School or Below,249126,25965,65,0,329,Personal Auto,Four-Door Car
GY74661,Oregon,F,College,403932,34911,105,1,127,Personal Auto,SUV
MX50302,Oregon,M,Bachelor,261934,78618,66,0,226,Special Auto,Two-Door Car
TC84427,Oregon,F,High School or Below,504969,61080,66,2,294,Personal Auto,Four-Door Car
IQ82914,Oregon,F,Master,498346,60415,62,0,73,Personal Auto,Two-Door Car
TY74870,California,F,Master,253064,25143,66,0,9,Corporate Auto,Four-Door Car
II83628,California,M,College,739672,41045,64,1,395,Personal Auto,Four-Door Car
ZR77995,California,M,College,383290,97729,95,0,97,Personal Auto,Four-Door Car
QT89604,Arizona,F,High School or Below,496141,55702,61,0,151,Personal Auto,Four-Door Car
AB21519,California,F,College,386149,93272,95,0,281,Personal Auto,Four-Door Car
MP47256,California,M,Bachelor,2265854,23665,67,0,405,Personal Auto,Four-Door Car
MA47641,Oregon,M,High School or Below,1040897,20228,101,1,524,Personal Auto,SUV
GQ20713,Nevada,F,College,483471,38713,66,4,317,Personal Auto,Four-Door Car
WW87934,Arizona,F,Bachelor,825767,23815,73,0,424,Personal Auto,Four-Door Car
HF75276,Nevada,F,High School or Below,305263,0,93,3,446,Personal Auto,Four-Door Car
ET64028,California,F,High School or Below,401232,47221,99,0,475,Personal Auto,Two-Door Car
QA41472,Oregon,M,Bachelor,1335549,34495,113,0,390,Personal Auto,SUV
OZ92426,Oregon,M,College,236443,46264,62,0,199,Corporate Auto,Four-Door Car
UM69933,Nevada,M,College,248934,46051,63,0,302,Personal Auto,Two-Door Car
RQ11502,Nevada,F,Bachelor,475572,23975,128,0,614,Corporate Auto,SUV
TX98128,California,F,College,1386438,0,74,4,581,Personal Auto,Four-Door Car
XY52165,Arizona,F,College,302042,78561,74,0,355,Personal Auto,Two-Door Car
GB39003,California,M,High School or Below,628531,0,90,0,432,Personal Auto,Two-Door Car
VH43367,California,F,High School or Below,250602,61402,63,2,302,Special Auto,Four-Door Car
KG81168,Arizona,M,Bachelor,282631,65090,71,0,74,Personal Auto,Four-Door Car
WU14549,Nevada,M,Master,436972,88495,108,0,536,Personal Auto,Two-Door Car
XB17553,Nevada,M,Bachelor,1217459,52797,104,1,88,Personal Auto,Luxury
MY88518,Nevada,M,Doctor,352804,31278,92,4,442,Personal Auto,Two-Door Car
XE18554,California,F,Bachelor,1043657,24177,92,1,442,Personal Auto,Four-Door Car
NY97446,Oregon,F,High School or Below,274612,96339,68,0,293,Corporate Auto,Four-Door Car
VT96364,California,M,Bachelor,917517,68164,119,2,223,Personal Auto,Four-Door Car
HF88410,Washington,F,High School or Below,562705,36765,66,1,321,Personal Auto,Four-Door Car
DP92488,Washington,F,Doctor,272752,74592,67,0,322,Personal Auto,Two-Door Car
VC54081,Oregon,F,College,944975,0,63,0,118,Special Auto,Four-Door Car
CE94751,California,M,College,456882,0,70,1,525,Personal Auto,Two-Door Car
VM85856,Oregon,F,Master,257402,34990,65,0,43,Personal Auto,Four-Door Car
EH37385,Arizona,F,Master,878988,22849,109,0,523,Personal Auto,Luxury
FI45719,Arizona,M,Doctor,250741,32893,63,0,174,Personal Auto,Four-Door Car
SB79528,Oregon,M,College,252241,0,73,0,350,Corporate Auto,Two-Door Car
WH81461,Nevada,M,College,754271,0,111,0,1187,Personal Auto,SUV
UD47050,Oregon,M,High School or Below,600521,26876,76,0,365,Corporate Auto,Four-Door Car
XZ17273,Nevada,M,Bachelor,2099826,71663,74,0,84,Corporate Auto,Four-Door Car
XR97812,California,M,College,234508,0,69,0,331,Personal Auto,Four-Door Car
BW88060,California,F,High School or Below,878317,16994,112,0,806,Personal Auto,SUV
CP32818,Oregon,M,Bachelor,452997,64270,117,0,46,Personal Auto,Luxury
CM52565,Nevada,F,High School or Below,603322,0,83,0,598,Corporate Auto,Four-Door Car
YP40334,Oregon,F,Doctor,530825,0,145,0,359,Personal Auto,SUV
KD63998,California,M,College,267473,56342,69,0,331,Personal Auto,Four-Door Car
VC77127,California,F,High School or Below,492981,0,70,0,837,Personal Auto,Four-Door Car
AM30008,California,M,High School or Below,1413112,28327,185,0,888,Personal Auto,Luxury
PC83755,Oregon,M,High School or Below,247153,95697,61,0,114,Personal Auto,Two-Door Car
XS22323,Arizona,M,High School or Below,600521,26876,76,0,365,Personal Auto,Four-Door Car
ST27958,Washington,M,College,438628,10621,67,0,322,Personal Auto,Four-Door Car
BH23017,Nevada,F,Bachelor,1911657,0,61,0,658,Personal Auto,Two-Door Car
OD18225,California,M,College,663167,32918,84,0,403,Personal Auto,Four-Door Car
VE31507,Oregon,F,High School or Below,743230,0,71,0,447,Personal Auto,Four-Door Car
NR18672,Nevada,M,High School or Below,292812,63127,74,1,174,Personal Auto,Two-Door Car
DM76654,California,M,College,4661187,22022,136,0,979,Personal Auto,SUV
YY11432,Oregon,F,High School or Below,1651501,51725,138,1,159,Personal Auto,SUV
GK67747,Washington,M,College,438628,10621,67,0,322,Special Auto,Four-Door Car
XA75063,Oregon,F,College,1021356,39719,131,0,629,Personal Auto,Luxury
PQ13422,Nevada,M,College,1004929,58194,84,0,451,Personal Auto,Four-Door Car
NA89685,Oregon,M,College,574615,61990,72,0,49,Personal Auto,Four-Door Car
AL35726,Oregon,F,College,374675,41479,94,1,20,Personal Auto,Two-Door Car
WO70078,Oregon,F,Bachelor,748607,97899,95,3,4,Personal Auto,Four-Door Car
CA56041,Nevada,F,College,912007,63878,113,0,370,Personal Auto,SUV
HI41970,Oregon,F,High School or Below,567805,68671,70,0,8,Special Auto,Two-Door Car
AU46443,Nevada,F,Bachelor,751708,0,102,0,1179,Personal Auto,SUV
WC35554,Oregon,M,College,453053,34640,117,2,466,Personal Auto,Luxury
JR10216,California,F,Bachelor,269138,21959,71,0,341,Corporate Auto,Four-Door Car
OH11674,Arizona,F,Bachelor,806862,51584,69,2,369,Corporate Auto,Two-Door Car
US85318,Oregon,F,Bachelor,247858,65744,62,0,167,Corporate Auto,Four-Door Car
FS19862,Arizona,F,Bachelor,911204,25198,118,0,566,Personal Auto,SUV
ZP80713,Arizona,F,Master,277244,79663,69,0,264,Personal Auto,Two-Door Car
OK50159,Arizona,F,Bachelor,430579,31071,111,2,215,Personal Auto,Luxury
TP54769,California,F,Bachelor,510336,39452,131,0,398,Corporate Auto,SUV
FS49381,Oregon,F,Bachelor,478496,25813,61,0,205,Personal Auto,Four-Door Car
DQ79499,Oregon,F,Doctor,1054111,59965,131,0,905,Personal Auto,SUV
VH31965,Washington,M,Bachelor,528512,40783,67,1,322,Personal Auto,Four-Door Car
VO25602,Nevada,F,College,761084,98701,94,0,80,Personal Auto,Four-Door Car
EP93369,Arizona,F,College,851053,0,121,0,871,Personal Auto,Luxury
DQ45854,Oregon,F,College,1617294,64388,68,0,12,Personal Auto,Four-Door Car
QG15661,Oregon,M,College,242549,66841,62,0,123,Personal Auto,Four-Door Car
YA80645,Oregon,F,High School or Below,289932,33738,74,1,304,Corporate Auto,Four-Door Car
TW16499,California,M,Bachelor,363305,43334,95,2,614,Corporate Auto,Two-Door Car
UP97629,California,F,College,345715,0,91,0,246,Personal Auto,Four-Door Car
NU42684,Nevada,F,College,339472,83431,84,0,403,Personal Auto,Four-Door Car
EM85557,Washington,F,College,802107,54292,67,0,322,Personal Auto,Four-Door Car
BM69818,Oregon,M,Bachelor,584153,0,79,0,379,Personal Auto,Four-Door Car
HK15299,California,M,High School or Below,547985,38210,69,0,383,Personal Auto,Four-Door Car
NP88496,Nevada,F,High School or Below,2045525,0,67,0,482,Personal Auto,Four-Door Car
SB99002,Oregon,F,Bachelor,831912,49734,69,0,155,Corporate Auto,Four-Door Car
ZH42145,Washington,F,High School or Below,258286,50148,65,0,323,Corporate Auto,Four-Door Car
JG30837,Oregon,M,College,416379,11689,117,0,562,Corporate Auto,SUV
AC22873,Arizona,F,High School or Below,485310,17120,125,0,717,Special Auto,SUV
RO85831,Oregon,M,High School or Below,753170,82157,188,0,1354,Corporate Auto,Luxury
NN65845,Washington,F,Bachelor,258594,21603,68,2,326,Personal Auto,Four-Door Car
RZ27571,Washington,F,Bachelor,269596,25544,68,0,326,Personal Auto,Four-Door Car
GH31557,California,M,High School or Below,268458,98121,67,0,384,Personal Auto,Two-Door Car
MK73855,Washington,F,High School or Below,810936,32314,68,0,326,Personal Auto,Four-Door Car
IO27771,Oregon,F,College,903666,89382,112,0,574,Corporate Auto,Four-Door Car
HB99061,Arizona,F,High School or Below,535219,97742,132,0,200,Corporate Auto,SUV
HQ82089,Arizona,F,High School or Below,1188097,0,114,0,821,Personal Auto,Four-Door Car
JN72184,Oregon,M,College,255709,0,73,0,526,Corporate Auto,Four-Door Car
WQ46946,California,F,College,791482,77153,99,1,356,Personal Auto,Four-Door Car
WJ44028,California,M,Master,984008,94590,81,0,389,Personal Auto,Two-Door Car
WH77063,Arizona,F,High School or Below,435155,74163,108,0,518,Personal Auto,Four-Door Car
FI13966,Oregon,F,High School or Below,2220783,40450,287,3,1378,Personal Auto,Luxury
AQ46199,Oregon,M,High School or Below,482526,0,71,0,511,Personal Auto,Two-Door Car
WV69362,Arizona,F,High School or Below,694784,0,99,0,475,Corporate Auto,Two-Door Car
RJ90816,California,F,College,334481,33243,85,0,25,Personal Auto,Four-Door Car
NH19236,Arizona,M,Master,235750,0,64,0,200,Personal Auto,Four-Door Car
VW88911,Oregon,M,High School or Below,3594471,0,114,0,821,Corporate Auto,Four-Door Car
NV14535,Nevada,M,High School or Below,1040897,20228,101,1,524,Personal Auto,SUV
BM66931,Arizona,F,High School or Below,404816,92801,100,0,407,Personal Auto,SUV
JW24035,Oregon,M,College,685200,0,69,1,407,Personal Auto,Four-Door Car
PG82270,California,M,College,290302,36845,74,0,355,Personal Auto,Four-Door Car
RW65101,California,F,College,1803911,0,63,0,503,Personal Auto,Four-Door Car
QO79771,California,F,Master,324204,72330,81,2,127,Personal Auto,Four-Door Car
EC44438,Nevada,F,Bachelor,246762,19352,65,0,724,Personal Auto,Four-Door Car
MW54213,Arizona,M,College,567438,0,62,5,298,Personal Auto,Four-Door Car
ZN33412,Arizona,F,College,863436,25073,79,0,379,Personal Auto,Four-Door Car
HZ56678,Oregon,F,High School or Below,278020,20261,72,0,346,Personal Auto,Four-Door Car
AN36757,Oregon,M,Master,2205600,66851,92,2,409,Personal Auto,Four-Door Car
NB54665,Arizona,F,High School or Below,251459,43860,65,0,156,Corporate Auto,Four-Door Car
MG99229,Oregon,M,College,588622,0,180,0,1777,Corporate Auto,Luxury
MX76292,California,F,Doctor,770604,48019,64,0,138,Corporate Auto,Four-Door Car
EJ90880,California,M,College,279046,28786,71,1,346,Personal Auto,Four-Door Car
WO95180,California,F,High School or Below,239704,22283,65,0,572,Corporate Auto,Four-Door Car
BU53191,Arizona,F,Bachelor,883432,34133,111,0,227,Personal Auto,SUV
ZK54897,Arizona,M,Master,1443567,60880,119,0,110,Personal Auto,Two-Door Car
PP48389,California,F,Bachelor,687197,0,196,2,941,Personal Auto,Luxury
XD29421,Oregon,M,High School or Below,1536235,48115,192,0,1382,Personal Auto,Luxury
OP26403,California,F,College,483480,32017,62,2,298,Personal Auto,Four-Door Car
XK15687,Oregon,F,High School or Below,1089930,58518,136,0,324,Personal Auto,SUV
ED29955,California,M,Bachelor,528404,61542,67,0,322,Personal Auto,Four-Door Car
QT84720,Oregon,F,Bachelor,289173,56761,73,1,85,Corporate Auto,Two-Door Car
ZH35315,California,M,College,490055,22976,66,0,346,Personal Auto,Four-Door Car
EE76374,Nevada,F,High School or Below,2084260,0,72,0,709,Personal Auto,Four-Door Car
SH51981,Washington,M,College,524606,70301,67,0,329,Personal Auto,Four-Door Car
BS13111,Arizona,M,Bachelor,663084,0,66,0,316,Personal Auto,Four-Door Car
JP12645,Arizona,M,Bachelor,1203662,44428,104,0,499,Personal Auto,SUV
ZF28570,Nevada,M,Bachelor,389503,52361,102,0,646,Personal Auto,Four-Door Car
UU93074,California,M,College,1170107,32435,297,0,1767,Personal Auto,Luxury
SZ60450,California,M,High School or Below,341911,40272,86,0,23,Personal Auto,Two-Door Car
HL63895,Arizona,M,Master,730278,30492,61,0,171,Personal Auto,Four-Door Car
UD27196,Arizona,M,High School or Below,1968541,51524,244,0,1171,Personal Auto,Luxury
OU53351,Arizona,M,College,248606,36635,63,0,302,Corporate Auto,Four-Door Car
SX50964,Arizona,F,Bachelor,522433,83389,65,0,209,Corporate Auto,Two-Door Car
RP30093,Oregon,F,Bachelor,4922143,63035,153,0,734,Personal Auto,SUV
BK73302,California,M,Bachelor,316789,61638,82,2,544,Corporate Auto,Four-Door Car
CS93971,Arizona,F,College,780531,21073,106,1,509,Personal Auto,SUV
RG13940,California,F,College,1319793,0,68,3,326,Personal Auto,Four-Door Car
ZG94155,Oregon,M,Bachelor,623431,0,82,0,193,Personal Auto,Two-Door Car
QN15356,Arizona,M,College,753960,0,74,0,533,Personal Auto,Four-Door Car
MZ16820,Nevada,M,High School or Below,815793,86811,102,0,490,Corporate Auto,Four-Door Car
DO98345,Oregon,M,High School or Below,1315675,72517,82,0,371,Personal Auto,Two-Door Car
PA48777,Washington,F,High School or Below,249126,25965,5353,0,329,Personal Auto,Four-Door Car
UK76814,Oregon,F,Doctor,533939,84424,66,0,232,Personal Auto,Four-Door Car
SR30440,California,F,College,864918,43383,109,0,758,Personal Auto,SUV
XE66367,Oregon,M,High School or Below,751913,96306,95,1,185,Special Auto,Four-Door Car
SZ70655,California,F,College,429301,0,61,0,293,Corporate Auto,Two-Door Car
UV54502,Washington,F,High School or Below,253774,0,69,0,331,Personal Auto,Four-Door Car
DK98861,Arizona,F,College,1316034,94125,109,0,342,Personal Auto,SUV
JX14364,Oregon,M,College,1323554,39778,112,0,806,Personal Auto,SUV
LI85491,Oregon,F,High School or Below,374458,0,101,0,727,Personal Auto,SUV
JY87538,Oregon,F,College,2848607,91871,102,0,347,Personal Auto,SUV
VE55982,Nevada,M,Bachelor,264468,54000,66,0,374,Corporate Auto,Two-Door Car
WK99918,Oregon,M,Doctor,507328,57709,125,0,600,Personal Auto,SUV
XP16538,Arizona,F,High School or Below,427259,81132,107,0,419,Corporate Auto,SUV
HW42900,California,M,College,1100302,22926,93,0,480,Corporate Auto,Four-Door Car
JG84729,Arizona,F,College,1418164,0,72,2,346,Personal Auto,Four-Door Car
XH85336,Washington,M,Bachelor,554803,67798,69,0,331,Personal Auto,Four-Door Car
ND29059,Oregon,M,Bachelor,1107769,78011,138,0,620,Personal Auto,SUV
HC76653,Oregon,M,College,243569,32931,62,0,298,Personal Auto,Four-Door Car
SG73822,California,F,Bachelor,874385,99517,109,0,240,Personal Auto,Four-Door Car
CB44654,Arizona,M,Bachelor,240976,59665,62,1,167,Personal Auto,Two-Door Car
MP53505,Washington,F,High School or Below,550001,86073,136,0,334,Corporate Auto,Luxury
YJ43481,Arizona,F,High School or Below,852829,91099,107,0,406,Corporate Auto,SUV
TP15362,Oregon,M,College,359200,28013,91,0,655,Personal Auto,Four-Door Car
YX90754,Nevada,F,High School or Below,853983,55478,71,0,339,Personal Auto,Two-Door Car
TQ32702,Nevada,F,College,699092,22568,88,0,422,Corporate Auto,Four-Door Car
TS50305,California,F,High School or Below,397939,0,112,0,806,Personal Auto,SUV
BY22068,Arizona,M,High School or Below,2395037,39335,201,0,965,Corporate Auto,Luxury
TJ48439,Oregon,F,College,232105,0,66,0,509,Personal Auto,Two-Door Car
TE61015,Oregon,M,College,508702,0,72,0,346,Personal Auto,Four-Door Car
RD89159,Oregon,M,College,436293,58842,110,0,528,Personal Auto,Four-Door Car
VW86720,Oregon,F,Bachelor,745747,0,69,0,678,Personal Auto,Four-Door Car
UM76485,Oregon,M,College,702776,0,102,0,490,Personal Auto,SUV
LS62045,Oregon,F,Bachelor,283168,70037,70,0,410,Personal Auto,Four-Door Car
ZG84862,Nevada,M,High School or Below,421786,0,62,0,446,Personal Auto,Two-Door Car
CD76093,Nevada,M,College,759629,59847,192,0,922,Corporate Auto,Luxury
FO99259,California,M,Bachelor,836568,26630,118,0,581,Personal Auto,Four-Door Car
KN87338,Oregon,F,High School or Below,272639,48039,68,0,11,Personal Auto,Four-Door Car
LT89398,California,M,High School or Below,342045,0,92,0,442,Personal Auto,Four-Door Car
NZ19529,Arizona,M,High School or Below,483911,0,137,0,1227,Personal Auto,SUV
PR41853,Arizona,F,Bachelor,435855,0,118,0,102,Corporate Auto,Luxury
ZF40671,Washington,F,Master,1242739,15818,107,0,334,Personal Auto,Two-Door Car
XR84971,Oregon,F,Doctor,2351585,36537,85,0,165,Personal Auto,Four-Door Car
BP83941,Arizona,F,Master,839633,0,115,1,552,Personal Auto,SUV
PY80449,Arizona,M,High School or Below,517098,53603,132,1,697,Personal Auto,Luxury
ET22260,Nevada,M,Doctor,558531,0,80,0,6,Corporate Auto,Four-Door Car
OF47250,California,F,Doctor,863950,92374,107,1,220,Personal Auto,SUV
WB58031,California,M,High School or Below,528183,39658,66,0,317,Corporate Auto,Four-Door Car
UV80201,Oregon,F,Bachelor,838525,0,116,0,557,Personal Auto,Luxury
PY10605,Arizona,M,Bachelor,463310,0,70,0,336,Personal Auto,Two-Door Car
JI82682,California,F,High School or Below,248039,0,65,0,328,Personal Auto,Four-Door Car
BU14748,Arizona,M,High School or Below,361869,50755,91,0,437,Personal Auto,Two-Door Car
QK18099,Washington,F,College,537584,69050,67,0,335,Personal Auto,Four-Door Car
LD26428,Oregon,M,Bachelor,489329,0,73,0,680,Corporate Auto,Four-Door Car
MY43761,California,M,High School or Below,1073768,50607,137,0,658,Personal Auto,SUV
WQ89892,Washington,F,College,260782,0,70,1,336,Special Auto,Two-Door Car
GY55415,Nevada,F,Bachelor,1572525,0,149,0,1073,Corporate Auto,SUV
IB42395,Nevada,M,College,955342,0,146,0,1051,Corporate Auto,SUV
ZU74482,Oregon,M,College,750746,60920,64,0,231,Personal Auto,Two-Door Car
NL74789,California,F,Bachelor,732493,0,105,0,504,Special Auto,Two-Door Car
YU86594,Oregon,M,High School or Below,533304,55674,66,0,82,Personal Auto,Four-Door Car
QN37451,California,M,College,1276723,0,189,0,2201,Corporate Auto,Luxury
GD83998,Washington,M,Bachelor,265934,24495,70,0,336,Personal Auto,Four-Door Car
IL83479,Oregon,F,College,348363,42983,86,0,413,Personal Auto,Four-Door Car
EF87528,Arizona,M,College,463655,26802,66,1,317,Special Auto,Two-Door Car
IV74747,California,M,Doctor,1753004,0,97,0,469,Corporate Auto,Four-Door Car
JZ81608,Oregon,M,High School or Below,697872,53808,88,0,190,Personal Auto,Four-Door Car
EO40136,Arizona,F,College,291225,93403,73,0,295,Personal Auto,Four-Door Car
ZR40902,Oregon,F,Bachelor,420928,26435,111,1,1012,Corporate Auto,Four-Door Car
PO89542,Oregon,F,Bachelor,500981,0,68,0,326,Personal Auto,Four-Door Car
FX57380,California,F,Bachelor,521751,39854,66,0,262,Personal Auto,Two-Door Car
NM22175,Oregon,M,College,1149034,0,161,0,1053,Personal Auto,SUV
BC97773,Nevada,F,Master,286454,91368,71,0,395,Personal Auto,Four-Door Car
MN34012,Arizona,M,Bachelor,840391,0,115,0,552,Personal Auto,SUV
KY29506,California,F,College,2039597,92850,104,1,499,Personal Auto,Four-Door Car
VU84949,Washington,F,Bachelor,529263,0,70,0,336,Personal Auto,Two-Door Car
HC20975,Arizona,M,Bachelor,1672777,30915,72,2,346,Personal Auto,Four-Door Car
IF87079,Arizona,F,Master,580113,48927,72,0,139,Personal Auto,Four-Door Car
EP18940,Oregon,F,Bachelor,947297,0,86,0,413,Personal Auto,Four-Door Car
SB44003,Arizona,F,College,1048492,61108,89,0,49,Personal Auto,Four-Door Car
MK15785,Nevada,M,Master,438731,48015,110,0,528,Corporate Auto,Luxury
VP89545,Arizona,M,College,452288,0,61,0,293,Personal Auto,Four-Door Car
HJ58678,Nevada,F,College,541815,57587,68,0,257,Personal Auto,Four-Door Car
MW80236,Washington,M,Master,562705,0,70,0,336,Personal Auto,Four-Door Car
IA52178,Arizona,F,College,1578530,81119,196,0,941,Corporate Auto,SUV
WC42895,California,F,Bachelor,2211040,65724,70,0,15,Personal Auto,Four-Door Car
JP41935,Washington,M,High School or Below,1359620,20128,70,2,336,Personal Auto,Four-Door Car
YM77369,Oregon,M,High School or Below,475613,56146,119,0,402,Corporate Auto,Four-Door Car
WV15213,California,M,Bachelor,244705,84658,62,0,45,Personal Auto,Four-Door Car
GX37592,Nevada,F,College,567592,33257,72,1,346,Personal Auto,Four-Door Car
VM34210,Washington,F,College,739903,0,101,0,338,Personal Auto,SUV
YJ59924,Oregon,M,College,730843,31115,92,0,442,Personal Auto,Four-Door Car
OO35641,Oregon,F,College,3287175,78487,117,0,448,Personal Auto,SUV
EU54076,Oregon,M,Bachelor,522892,92472,65,0,240,Corporate Auto,Four-Door Car
QH56750,Arizona,M,High School or Below,2070086,0,64,0,461,Personal Auto,Four-Door Car
PQ27923,Washington,M,Master,633303,71737,79,0,339,Personal Auto,Two-Door Car
ES16126,California,M,College,433039,60475,107,0,514,Personal Auto,Four-Door Car
PG42834,Arizona,F,Bachelor,629274,26577,79,0,74,Personal Auto,Four-Door Car
OY44814,Arizona,M,High School or Below,491789,0,71,0,511,Personal Auto,Two-Door Car
JI97190,California,M,High School or Below,516581,43461,64,0,307,Personal Auto,Two-Door Car
ZK61113,Oregon,M,High School or Below,629159,0,94,0,677,Personal Auto,Two-Door Car
MU88116,Oregon,F,Master,458267,69085,113,0,472,Corporate Auto,Luxury
TP61305,California,M,High School or Below,606244,0,84,0,605,Personal Auto,Four-Door Car
ZY20779,Washington,M,High School or Below,497908,0,71,0,341,Personal Auto,Two-Door Car
KP65334,California,F,College,583056,0,77,0,783,Corporate Auto,Four-Door Car
OH15677,California,M,High School or Below,374258,0,110,1,1273,Personal Auto,Luxury
HB53755,Oregon,F,High School or Below,384960,0,106,0,763,Personal Auto,Luxury
UF77079,Arizona,F,High School or Below,1526581,58361,95,0,44,Personal Auto,Four-Door Car
TD20252,Arizona,M,College,531781,74092,67,0,322,Personal Auto,Four-Door Car
TH68362,California,F,College,237481,0,64,0,381,Corporate Auto,Four-Door Car
TO34442,Washington,M,College,553286,59768,71,1,341,Personal Auto,Four-Door Car
MP96373,Washington,M,Master,571979,54585,7575,1,341,Personal Auto,Two-Door Car
CV72453,Oregon,F,High School or Below,451220,0,125,0,900,Corporate Auto,SUV
OY92520,California,F,Bachelor,726480,12075,94,0,451,Personal Auto,Four-Door Car
UY95530,California,M,College,865886,62464,109,0,400,Personal Auto,Luxury
FB84235,Oregon,M,College,549894,22520,73,0,350,Personal Auto,Four-Door Car
MJ14480,Arizona,F,High School or Below,559938,35012,72,0,346,Personal Auto,Four-Door Car
KW81128,Arizona,F,College,1522820,95140,126,0,45,Personal Auto,Luxury
DQ98402,Nevada,F,High School or Below,364483,82477,90,0,432,Corporate Auto,Two-Door Car
WN53966,California,M,Master,369344,85871,92,1,113,Personal Auto,Four-Door Car
QK69627,Washington,F,High School or Below,938816,75264,78,0,343,Personal Auto,Four-Door Car
QC55306,Washington,M,High School or Below,3116269,83170,97,0,344,Personal Auto,Four-Door Car
WV79842,California,M,High School or Below,928374,24314,235,0,1128,Personal Auto,Luxury
DF40318,Oregon,M,Master,255123,79751,63,0,392,Corporate Auto,Two-Door Car
TN90661,Nevada,M,High School or Below,581192,83318,72,0,346,Corporate Auto,Four-Door Car
ZU88029,Oregon,F,Master,406467,26161,109,0,594,Personal Auto,Luxury
TQ88221,California,F,Bachelor,284144,30473,72,0,450,Corporate Auto,Four-Door Car
KH34667,Nevada,M,College,683213,50472,87,0,281,Corporate Auto,Four-Door Car
HW54198,Nevada,M,Master,520197,94186,64,0,135,Personal Auto,Four-Door Car
GZ79662,Arizona,M,High School or Below,548459,47611,69,0,594,Corporate Auto,Four-Door Car
YA11342,California,M,High School or Below,767268,0,103,0,519,Personal Auto,Four-Door Car
ZW18871,Oregon,M,High School or Below,827249,91245,69,0,19,Corporate Auto,Four-Door Car
QZ17137,Arizona,F,High School or Below,333067,45944,83,0,183,Personal Auto,Two-Door Car
UV53712,California,F,College,556246,59649,69,1,168,Personal Auto,Four-Door Car
SJ43436,Oregon,F,Bachelor,245274,52785,61,0,46,Corporate Auto,Two-Door Car
VW46878,Oregon,F,High School or Below,792028,59648,66,0,317,Personal Auto,Four-Door Car
TW91179,Oregon,F,College,386149,93272,95,0,281,Corporate Auto,Four-Door Car
LG19551,Arizona,M,Bachelor,576478,22134,72,0,446,Corporate Auto,Four-Door Car
AI49712,Washington,F,High School or Below,259390,0,72,0,346,Personal Auto,Four-Door Car
WN14473,Arizona,M,Master,288235,87798,71,0,204,Personal Auto,Two-Door Car
WH62198,California,M,Bachelor,221319,0,63,0,306,Personal Auto,Four-Door Car
SP85148,California,F,Master,942963,43811,117,0,571,Personal Auto,Luxury
FB49203,California,F,College,623926,0,91,0,655,Corporate Auto,Two-Door Car
FF94341,Nevada,F,Bachelor,766881,92456,95,0,456,Special Auto,Four-Door Car
TS42594,California,F,High School or Below,1377098,59207,116,0,557,Personal Auto,Four-Door Car
IL43607,California,F,High School or Below,274284,64519,69,1,331,Corporate Auto,Four-Door Car
FL85008,Oregon,F,High School or Below,1346692,11432,119,0,571,Personal Auto,SUV
AN47199,Nevada,F,College,885835,0,80,0,81,Personal Auto,Two-Door Car
SV28347,California,M,High School or Below,848533,32607,111,1,533,Corporate Auto,SUV
IC78105,Arizona,F,High School or Below,774464,26444,196,0,941,Personal Auto,Luxury
RB28630,Oregon,F,High School or Below,589491,39381,74,1,355,Personal Auto,Four-Door Car
KA32645,Nevada,M,College,577068,0,83,0,946,Personal Auto,Four-Door Car
QD73891,Oregon,M,High School or Below,526112,90217,66,1,317,Personal Auto,Four-Door Car
LM58949,Oregon,M,High School or Below,240354,24248,70,3,336,Personal Auto,Four-Door Car
YG40323,Arizona,M,Bachelor,912460,99368,113,0,82,Personal Auto,Four-Door Car
EP82214,Arizona,F,High School or Below,2618081,68189,82,1,343,Special Auto,Four-Door Car
EO91797,Nevada,F,Master,1564126,32370,130,0,488,Corporate Auto,SUV
RU50098,Arizona,F,Master,257402,34990,65,0,43,Personal Auto,Four-Door Car
QW10541,California,F,High School or Below,531984,25714,67,0,322,Personal Auto,Two-Door Car
SB50826,Oregon,M,College,749601,61091,95,0,410,Personal Auto,Two-Door Car
XX29952,Arizona,M,College,1217459,88184,104,3,240,Personal Auto,Four-Door Car
AT93647,California,F,College,260557,60252,65,0,182,Personal Auto,Four-Door Car
QP56563,Oregon,M,College,270721,80985,67,0,125,Personal Auto,Four-Door Car
UF88986,Washington,F,College,279491,39783,72,0,346,Personal Auto,Two-Door Car
TY43440,California,M,High School or Below,881902,99845,110,1,528,Personal Auto,SUV
NJ15094,Washington,F,Bachelor,534599,0,72,0,346,Personal Auto,Four-Door Car
